Instrument,Sales,AV_kept,AV_repro,EPV,MktCap,Fr_kept,Fr_repro,EPVoverAV_kept,EPVoverAV_repro,MktCap_over_EPV,AVrepro_over_MktCap,ROICm7,WACC,CoreMoat,CompanyMoat
DLB.N,1349130000.0,5031104603.940521,5115588422.713244,4728388908.068096,6938160552.15,-302715695.8724251,-387199514.6451483,0.9398311663734186,0.9243098774471418,1.467341347559493,0.7373119120352475,-0.0160974004,0.07,7.95,7.25
MITK.OQ,179691000.0,499165330.6264502,466110255.84409887,784308116.6376497,445868907.87,285142786.0111995,318197860.7935508,1.5712391636922112,1.682666508200539,0.5684869229473899,1.0453975319131257,0.1023466645,0.07,7.95,6.45
4071.T,114570695.861912,159665026.60445648,161077515.97253835,699983699.0725279,723023188.640974,540318672.4680715,538906183.0999895,4.3840765505060855,4.345632566073753,1.0329143230034832,0.22278333323625027,0.0,0.07400000000000001,7.65,6.6
FICO.N,1990869000.0,-76224127.48373938,-511426913.4590392,8748988480.897692,35922191313.68,8825212608.381432,9260415394.356731,,,4.105867940289504,-0.01423707448671919,0.5622752732,0.06673196223540065,10.1,9.4
DJCO.OQ,87700000.0,515435801.765145,672529035.2410719,672130384.4441639,640695929.64,156694582.6790189,-398650.796908021,1.3040040721703996,0.9994072363035372,0.9532316117055778,1.0496852003086061,0.1282737132,0.07,7.2,6.3
PTC.OQ,2739226000.0,6990885749.619701,2952514949.348432,12237564419.560104,24320314766.08,5246678669.940403,9285049470.211672,1.7505027056443911,4.144793381066782,1.987349274109417,0.12140118159434186,0.119566322,0.06750249014428805,8.2,7.4
4475.T,73255388.4139037,106571639.35657604,95325217.16856036,292408686.64158314,354012620.689655,185837047.28500712,197083469.4730228,2.7437758150948435,3.067485134857094,1.210677510150655,0.26927067453938924,0.2567751051,0.07400000000000001,7.55,6.95
DOX.OQ,4532913000.0,6044331444.770236,5406872061.555243,9441014443.049803,8898181045.8,3396682998.279567,4034142381.4945602,1.5619617370947607,1.7461138964575706,0.9425026409477192,0.6076379019178669,0.0606503654,0.0669444996722773,7.45,6.75
IIIV.OQ,213158000.0,643345755.5415792,347281235.13242894,605458421.6451229,1050561602.76,-37887333.89645636,258177186.51269394,0.9411089082812676,1.7434239469179587,1.7351506977233282,0.3305672263483297,0.0117883276,0.07,7.7,7.35
SNPS.OQ,7054178000.0,38309203899.78896,2055954907.9316254,15141746465.93649,84407797080.0,-23167457433.852474,13085791558.004864,0.39525087771453016,7.3648242028662505,5.574508678367277,0.024357405110134945,0.0615217179,0.06722372078871973,9.4,9.15
